LOCATION,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
HUN,-8.604876283,-4.368600529,-5.548620305,-7.449029505,-5.129452594,-3.026971985,-4.050850067,-8.826820985,-7.116332282,-6.536302931,-7.770967753,-9.272733591,-5.02452978,-3.681204017,-4.538508884,-4.475419454,-5.414129506,-2.399470013,-2.613648367,-2.606407387,-1.901848691,-1.647448993,-2.214016592
HUN_s,55.11448372,50.82708737,49.43256169,50.63156585,48.60829178,47.104061,47.13336041,50.8294725,48.98711097,48.6778089,49.34689369,51.42726682,49.8295575,48.57947615,50.3623744,49.23765819,49.44790552,48.46993495,49.26743329,49.51185916,50.10724988,46.60943876,
IRL,-2.113642305,-0.23318273,1.342958764,2.047576861,2.437409136,4.866848591,0.969746743,-0.507505182,0.360871875,1.316331519,1.589786634,2.794251429,0.288866166,-6.987013941,-13.79594607,-32.02460581,-12.78284971,-8.055345855,-6.128525194,-3.607387597,-1.910375857,-0.536542842,-0.248053332
IRL_s,40.82932612,38.99108511,36.50560852,34.59632295,33.97021787,30.87680965,32.49151349,33.19478128,32.98993577,33.15865974,33.3433363,33.84643324,35.91006797,41.80906715,47.00546852,65.04150127,46.52485891,42.00720294,40.31370605,37.4014105,28.79298509,27.28496608,
ITA,-7.253330361,-6.651063604,-3.011939414,-3.021243074,-1.804503348,-2.438458949,-3.393204445,-2.995183067,-3.339086751,-3.496430832,-4.105185821,-3.523147379,-1.464818631,-2.63100689,-5.248212783,-4.21143592,-3.678312345,-2.918181452,-2.922412209,-3.042247657,-2.612032041,-2.541030388,-2.380352641
ITA_s,51.80458879,51.64013353,49.62344105,48.31170776,47.3676369,45.49796924,47.51825828,46.78642544,47.24487413,46.83819875,47.14392014,47.62962024,46.79112955,47.8303843,51.15850349,49.89010695,49.37895081,50.7588028,51.0645307,50.90338847,50.24716035,49.12633106,
LUX,2.668629907,1.592839534,2.801249953,3.234901921,3.479576552,5.888406463,5.909407096,2.44083305,0.185964528,-1.283097372,0.077619689,1.935906842,4.151201902,3.319871778,-0.674725529,-0.658248886,0.512850262,0.344962079,0.975437841,1.316125868,1.330896716,1.630340186,1.380952986
LUX_s,40.67527708,41.0988738,41.19981072,41.81549577,39.38196825,37.812477,38.2295033,41.35923303,43.50088343,43.82469834,43.57871056,39.66015,37.80569345,39.69568131,45.14346227,44.12582248,42.36603724,44.06986338,43.32193681,41.95481637,41.95631699,41.89384888,42.91590844
NLD,-8.731683189,-1.822850925,-1.582729524,-1.353808697,0.253421669,1.165468676,-0.475636101,-2.129158294,-3.142294417,-1.825289163,-0.39645442,0.099393375,-0.091897217,0.201329423,-5.086245803,-5.246195558,-4.426939583,-3.918427606,-2.928703046,-2.152004289,-2.024614207,0.020894009,1.215524633
NLD_s,53.01610999,46.42292347,44.845629,43.5503874,42.98703807,41.40134998,42.66032485,43.30332823,44.20077612,43.19725064,41.90853593,42.644377,42.04822585,43.01913788,47.60883551,47.57715661,46.43742917,46.53611367,45.73094935,45.5959259,44.45731064,43.0937534,
POL,-4.180072704,-4.53639996,-4.551604656,-4.165525434,-2.245402035,-2.970949113,-4.783364574,-4.845685637,-6.077098578,-5.043823454,-3.9618443,-3.5573141,-1.852973,-3.600117879,-7.252690554,-7.34215366,-4.827217352,-3.711738804,-4.112873779,-3.683371599,-2.700752349,-2.235598932,-1.406425206
POL_s,47.88892983,51.13989745,47.06857495,45.13637039,43.38818364,42.07157907,45.04727081,45.40153315,45.79185039,43.59002939,44.39502336,44.66286043,43.20838999,44.29513502,45.04236967,45.80750821,43.87972102,42.8594136,42.59473292,42.24506083,41.54743177,41.11595648,
PRT,-5.178167986,-4.737667954,-3.70466472,-4.386289517,-3.030586281,-3.214900592,-4.788404371,-3.340290099,-4.421588796,-6.194527953,-6.19379042,-4.327560066,-3.008761435,-3.765663203,-9.805526634,-11.17113878,-7.38284137,-5.658666822,-4.842423556,-7.165661379,-4.40343215,-1.970308405,-2.960983153
PRT_s,42.6239469,43.14925851,42.44831523,42.69842261,42.55269727,42.64409255,44.11323944,43.71862288,45.32257862,46.06422555,46.67683299,45.2415948,44.48659921,45.33550033,50.22347053,51.81860024,50.01643955,48.52706389,49.93988729,51.76701479,48.20051866,44.70750127,
SVK,-3.341696732,-9.720857217,-6.162638384,-5.205420196,-7.276231085,-12.02343791,-6.401315021,-8.088038571,-2.703018181,-2.308472342,-2.88332708,-3.591970331,-1.94876344,-2.427749449,-7.804208237,-7.484921561,-4.27695107,-4.344886333,-2.719988478,-2.70229432,-2.561263618,-2.221839532,-0.777049156
SVK_s,48.1526308,53.08723918,48.4176642,45.56434087,47.85745804,52.02164874,44.40301315,45.13889839,39.9052312,37.81629619,39.77552991,38.76232741,36.33922175,36.93778727,44.08436516,42.14500292,40.81687786,40.63005869,41.44074778,42.03498409,45.10067333,41.46955375,
ESP,-7.037752239,-5.372219217,-3.913143351,-2.948873912,-1.322697016,-1.099574468,-0.545081827,-0.411056897,-0.35931557,-0.039237538,1.209586424,2.199957539,1.923747718,-4.420524536,-10.95350363,-9.381137626,-9.642122138,-10.46791977,-6.989128326,-5.968472375,-5.272460725,-4.468944163,-3.078317339
ESP_s,44.33085077,42.98574567,41.60590987,41.03046339,39.93414278,39.16827853,38.45821754,38.62199848,38.27463807,38.69564208,38.31506846,38.28422162,39.02759697,41.15559139,45.78111157,45.6273504,45.83048795,48.102499,45.56197615,44.84631246,43.72505584,42.19315786,
SWE,-7.020610421,-3.107355439,-1.572420669,0.837504695,0.757529436,3.220555574,1.421522727,-1.450450454,-1.267726102,0.355397712,1.832319081,2.209141707,3.354000914,1.904129545,-0.715399016,-0.032067436,-0.202455967,-0.964766727,-1.367086219,-1.552325913,0.159417623,1.111664197,1.552316397
SWE_s,63.4794511,61.39673838,59.19787456,56.92989005,56.24485344,53.28415616,52.69505495,53.85307225,53.9749327,52.37937718,52.311777,50.9732393,49.27723045,50.00709088,52.69001391,50.75718878,50.25245538,51.30038432,51.95044223,51.07427825,49.61122616,49.6540757,
